Target_genes	Pax6|Average	SRX1501812|Alpha-TN4	SRX5951811|Alpha_TC1	SRX5951812|Alpha_TC1	SRX5951813|Alpha_TC1	SRX5951814|Alpha_TC1	SRX11976467|Cerebral_Cortex	SRX11976468|Cerebral_Cortex	SRX957676|Embryonic_brains	SRX957677|Embryonic_brains	SRX8325081|Ganglionic_gut	SRX8325082|Ganglionic_gut	SRX8325083|Ganglionic_gut	SRX8325084|Ganglionic_gut	SRX8325085|Ganglionic_gut	SRX8325086|Ganglionic_gut	SRX8325087|Ganglionic_gut	SRX8325088|Ganglionic_gut	SRX8325089|Ganglionic_gut	SRX8325090|Ganglionic_gut	SRX8325091|Ganglionic_gut	SRX8325092|Ganglionic_gut	SRX8325093|Ganglionic_gut	SRX8325094|Ganglionic_gut	SRX8325095|Ganglionic_gut	SRX8325096|Ganglionic_gut	SRX957680|Lenses,_Intraocular	SRX2203271|MIN6B1	SRX2203273|MIN6B1	SRX2203274|MIN6B1	STRING
Tcstv3	717.448276	1925	0	0	368	167	1759	1202	2386	2431	367	191	444	163	309	336	287	272	0	0	0	0	0	0	0	0	2071	974	2609	2545	0
Cldn34d	586.310345	2560	0	0	0	0	1414	993	2539	1392	237	239	249	0	0	0	99	0	0	0	0	0	0	0	0	0	2271	749	2128	2133	0
Wipi2	510.586207	616	2789	1729	1914	2338	359	118	1231	1851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947	190	410	315	0
Brox	410.241379	1704	1007	533	515	717	1092	569	1546	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1319	421	860	1008	0
Aida	410.241379	1704	1007	533	515	717	1092	569	1546	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1319	421	860	1008	0
Percc1	375.172414	1102	2506	1635	2799	2678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0
Chchd5	331.793103	648	2449	1632	1460	1953	262	0	185	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	128	128	0
Ptprj	324.758621	0	1573	1100	1678	1490	549	105	692	1296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	266	238	0
Cherp	323.793103	647	2455	1572	1673	2036	226	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	258	172	0
Bcl2l13	299.931034	541	1921	1147	1429	1798	454	122	358	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	298	0	0
Blvra	295.103448	413	1842	1260	1266	1627	208	0	328	633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	318	285	0
Trir	290.206897	696	1825	1223	1179	1503	669	116	399	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0
Get3	290.206897	696	1825	1223	1179	1503	669	116	399	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0
Pde1c	285.586207	0	2457	1622	1921	2151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0
Tcaf1	275.448276	409	1901	1404	1269	1640	261	105	187	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	159	0	0
Mark3	249.689655	282	1590	945	1048	1394	383	132	526	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	213	0	0
Tead1	239.206897	205	1659	1096	1144	1434	333	132	188	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	205	90	0
Amd2	233.448276	1512	1469	896	924	1489	353	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amd1	233.448276	1512	1469	896	924	1489	353	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mbd3	230.000000	616	1778	1146	872	1143	225	0	312	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0
Hnrnpa2b1	227.724138	1496	1546	932	932	1290	124	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0
Cbx3	227.724138	1496	1546	932	932	1290	124	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0
Tmem167b	227.137931	362	1219	906	1148	1300	172	0	459	737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0
Uba52	225.482759	412	1834	1143	1263	1389	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	135	0
Rex1bd	225.482759	412	1834	1143	1263	1389	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	135	0
Kcne2	224.103448	0	1357	1086	2055	2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arl4d	221.482759	985	1623	1169	1122	1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttpal	221.413793	691	1885	1118	918	1219	251	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0
Cse1l	216.103448	984	1424	759	1198	1320	309	147	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo7	211.310345	287	1875	790	1025	1264	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	242	205	0
Lmo1	210.344828	0	950	658	1445	1096	293	0	424	884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	158	0
Slc26a2	206.241379	694	1811	944	752	1616	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pxt1	203.379310	0	1416	717	1619	1792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	93	0
Nckap5l	203.241379	340	1527	930	755	1074	414	127	91	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0
Spen	195.862069	113	85	0	538	510	583	106	1055	1327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	261	196	0
Tmem125	192.551724	263	586	281	444	468	201	363	289	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	380	881	909	0
Tex14	192.172414	2096	371	162	394	439	534	0	344	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0
Adra2a	191.862069	154	1215	1094	934	1238	174	127	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	201	0	0
Mcts2	189.586207	217	1630	740	974	1230	160	0	208	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps28	189.448276	1099	1574	716	717	897	195	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0
Ndufa7	189.448276	1099	1574	716	717	897	195	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0
Kpna1	184.931034	283	227	104	58	142	680	775	497	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	460	628	569	0
Dido1	182.275862	483	1504	905	787	1287	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0
Tcea1	180.758621	722	1753	844	659	1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senp1	179.344828	445	979	523	554	849	562	170	363	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	80	0	0
Pfkm	179.344828	445	979	523	554	849	562	170	363	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	80	0	0
Xrcc1	178.551724	155	985	589	816	1086	116	0	255	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	211	101	0
Pinlyp	178.551724	155	985	589	816	1086	116	0	255	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	211	101	0
Plekhf1	178.310345	647	1195	756	877	1139	160	0	131	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
