chrom	start	end	gene	distance	peak_type
chr1	9782	10672	MIR1302-2HG	-18882	distal
chr1	180547	181446	AL627309.5	-6686	distal
chr1	191121	191998	AL627309.5	-17260	distal
chr1	267553	268447	AP006222.2	699	distal
chr1	270906	271782	AP006222.2	4052	distal
chr1	273943	274789	AP006222.2	7089	distal
chr1	585753	586649	AC114498.1	-980	promoter
chr1	629499	630394	AC114498.1	41871	distal
chr1	633580	634634	AC114498.1	45952	distal
chr1	778282	779198	LINC01409	0	promoter
chr1	816872	817778	FAM87B	0	promoter
chr1	827063	827952	LINC01128	0	promoter
chr1	827063	827952	LINC00115	0	promoter
chr1	832050	832936	LINC01128	4351	distal
chr1	844145	844994	LINC01128	-15233	distal
chr1	857947	858636	LINC01128	-1591	distal
chr1	865368	866274	FAM41C	3927	distal
chr1	865368	866274	LINC01128	0	distal
chr1	869467	870372	FAM41C	0	promoter
chr1	876443	876987	FAM41C	0	promoter
chr1	877142	877901	FAM41C	-240	promoter
chr1	898371	899190	AL645608.6	-5644	distal
chr1	904350	905199	AL645608.6	0	promoter
chr1	920760	921655	LINC02593	-1069	distal
chr1	923372	924236	SAMD11	-1495	distal
chr1	925349	926118	SAMD11	0	promoter
chr1	940023	940935	SAMD11	14283	distal
chr1	958865	959757	NOC2L	0	promoter
chr1	960338	961106	KLHL17	0	promoter
chr1	966501	967334	PLEKHN1	0	promoter
chr1	975783	976720	PERM1	4309	distal
chr1	975783	976720	PLEKHN1	0	distal
chr1	983867	984770	PERM1	-1775	distal
chr1	998643	999407	HES4	574	distal
chr1	999927	1000461	HES4	0	promoter
chr1	1000565	1001086	ISG15	-52	promoter
chr1	1001639	1002449	ISG15	502	distal
chr1	1008921	1009827	ISG15	0	distal
chr1	1008921	1009827	AL645608.1	3366	distal
chr1	1012995	1013917	ISG15	0	promoter
chr1	1012995	1013917	AL645608.1	0	promoter
chr1	1019165	1019995	AGRN	-125	promoter
chr1	1032751	1033633	AGRN	12629	distal
chr1	1040407	1041284	AL645608.5	-13749	distal
chr1	1040407	1041284	AGRN	0	distal
chr1	1059178	1060044	AL645608.8	3244	distal
chr1	1063672	1064536	AL645608.8	-385	promoter
