chrom	start	end	gene	distance	peak_type
chr1	3050042	3050993			intergenic
chr1	3051646	3052500			intergenic
chr1	3062341	3063336			intergenic
chr1	3319187	3320163	Xkr4	0	distal
chr1	3321055	3321903	Xkr4	0	distal
chr1	3442658	3443530	Gm1992	-93280	distal
chr1	3442658	3443530	Xkr4	0	distal
chr1	3469934	3470856	Xkr4	0	distal
chr1	3469934	3470856	Gm1992	-65954	distal
chr1	3584820	3585724	Xkr4	0	distal
chr1	3584820	3585724	Gm1992	48011	distal
chr1	3741505	3742390	Xkr4	0	promoter
chr1	4496834	4497700	Rp1	-17371	distal
chr1	4561922	4562866	Sox17	3720	distal
chr1	4563357	4564253	Sox17	2333	distal
chr1	4566481	4567274	Sox17	0	promoter
chr1	4590430	4591503	Gm37587	22734	distal
chr1	4641617	4642530	Gm37323	13945	distal
chr1	4667812	4668699	Gm37323	-11338	distal
chr1	4678788	4679654	Gm37323	-22314	distal
chr1	4741644	4742553	Gm37323	-85170	distal
chr1	4790083	4790961	Mrpl15	64972	distal
chr1	4815487	4816379	Mrpl15	39554	distal
chr1	4836479	4837394	Mrpl15	18539	distal
chr1	4840041	4840872	Mrpl15	15061	distal
chr1	4850156	4851211	Mrpl15	4722	distal
chr1	4855467	4856387	Mrpl15	0	promoter
chr1	4855467	4856387	A930006A01Rik	0	promoter
chr1	4877609	4878539	Lypla1	0	promoter
chr1	4880092	4880841	Lypla1	1959	distal
chr1	4904115	4904995	Lypla1	0	distal
chr1	4904115	4904995	Tcea1	-23042	distal
chr1	4927546	4928398	Tcea1	0	promoter
chr1	4939505	4940416	Tcea1	11245	distal
chr1	5087974	5088942	Rgs20	16	promoter
chr1	5092929	5093458	Rgs20	-3168	distal
chr1	5093562	5094166	Rgs20	-3801	distal
chr1	5140192	5141092	Rgs20	0	promoter
chr1	5140192	5141092	Atp6v1h	0	promoter
chr1	5153007	5153933	Atp6v1h	0	promoter
chr1	5195585	5196535	Atp6v1h	42209	distal
chr1	5197008	5197885	Atp6v1h	43632	distal
chr1	5198575	5199465	Atp6v1h	45199	distal
chr1	5204029	5204873	Atp6v1h	50653	distal
chr1	5205372	5206262	Atp6v1h	51996	distal
chr1	5235909	5236751	Atp6v1h	82533	distal
chr1	5240413	5241308	Atp6v1h	87037	distal
chr1	5328177	5329056	Atp6v1h	174801	distal
chr1	5331216	5332101	Atp6v1h	177840	distal
chr1	5381578	5382438			intergenic
chr1	5490783	5491646	Oprk1	-167070	distal
chr1	6284437	6285310	Rb1cc1	0	promoter
chr1	6284437	6285310	4732440D04Rik	0	promoter
chr1	6342099	6343027	Rb1cc1	0	distal
chr1	6342099	6343027	4732440D04Rik	-56583	distal
chr1	6352548	6353402	4732440D04Rik	-67032	distal
chr1	6429012	6429869	Alkal1	0	promoter
chr1	6452761	6453681	Alkal1	23320	distal
chr1	6511127	6512172	St18	-45283	distal
chr1	7080226	7081089	Gm57122	77959	distal
chr1	7158690	7159601	Gm57122	0	promoter
chr1	7158690	7159601	Pcmtd1	0	promoter
chr1	7250779	7251905	Pcmtd1	91636	distal
chr1	7274788	7275657	Pcmtd1	115645	distal
chr1	7276369	7277156	Pcmtd1	117226	distal
chr1	7464343	7465194	Gm26901	2825	distal
chr1	7467859	7468739	Gm26901	0	promoter
chr1	7851343	7852234			intergenic
chr1	8482175	8483088	Sntg1	0	distal
chr1	8486988	8487885	Sntg1	0	distal
chr1	8537300	8538198	Sntg1	0	distal
chr1	8565805	8566703	Sntg1	0	distal
chr1	8603877	8604760	Sntg1	0	distal
chr1	9445103	9445984	Sntg1	-75641	distal
chr1	9605951	9606739	Rrs1	-8894	distal
chr1	9611208	9612043	Rrs1	-3590	distal
chr1	9615170	9616017	Rrs1	0	promoter
chr1	9617875	9618729	Adhfe1	0	promoter
chr1	9619115	9619939	Adhfe1	943	distal
chr1	9620507	9621321	Adhfe1	2335	distal
chr1	9633078	9633990	Adhfe1	14906	distal
chr1	9633078	9633990	2610203C22Rik	0	distal
chr1	9634532	9635339	Adhfe1	16360	distal
chr1	9634532	9635339	2610203C22Rik	0	distal
chr1	9635816	9636708	2610203C22Rik	0	distal
chr1	9635816	9636708	Adhfe1	17644	distal
chr1	9637863	9638762	2610203C22Rik	0	distal
chr1	9637863	9638762	Adhfe1	19691	distal
chr1	9691481	9692313	2610203C22Rik	9056	distal
