peak	gene	distance	peak_type
chr1_191120_191785	AL627309.5	-17259	distal
chr1_629737_630158	AC114498.1	42109	distal
chr1_633799_634259	AC114498.1	46171	distal
chr1_778232_779341	LINC01409	0	promoter
chr1_817187_817402	FAM87B	0	promoter
chr1_827039_827866	LINC00115;LINC01128	0;0	promoter;promoter
chr1_869628_870325	FAM41C	0	promoter
chr1_903891_905534	AL645608.6	0	promoter
chr1_909970_910464	AL645608.2;AL645608.6	-971;0	promoter;distal
chr1_920781_921645	LINC02593	-1090	distal
chr1_923400_925841	SAMD11	0	promoter
chr1_939870_942188	SAMD11	14130	distal
chr1_958849_961593	KLHL17;NOC2L	0;0	promoter;promoter
chr1_966634_967209	PLEKHN1	133	distal
chr1_975980_976443	PERM1	4586	distal
chr1_984086_984576	PERM1	-1994	distal
chr1_997029_1002286	ISG15;HES4;AL645608.7	0;0;0	promoter;promoter;promoter
chr1_1005342_1005651	ISG15	4205	distal
chr1_1012933_1015715	ISG15;AL645608.1	0;0	promoter;promoter
chr1_1018897_1022019	AGRN	0	promoter
chr1_1022963_1023042	AGRN	2841	distal
chr1_1023606_1027393	AGRN	3484	distal
chr1_1028043_1028059	AGRN	7921	distal
chr1_1031113_1034942	AGRN	10991	distal
chr1_1036016_1037755	AGRN	15894	distal
chr1_1039937_1042103	AGRN;AL645608.5	0;-12930	distal;distal
chr1_1056339_1056659	AL645608.5	1307	distal
chr1_1058705_1060105	AL645608.8	3183	distal
chr1_1063617_1064568	AL645608.8	-330	promoter
chr1_1066791_1067038	AL645608.8	-3504	distal
chr1_1067822_1067828	AL645608.8	-4535	distal
chr1_1068476_1070284	RNF223	4022	distal
chr1_1072080_1072510	RNF223	1796	distal
chr1_1079515_1080536	RNF223	-5210	distal
chr1_1115564_1117108	C1orf159	0	promoter
chr1_1121626_1122759	C1orf159	-5529	distal
chr1_1156606_1159355	AL390719.2	-10002	distal
chr1_1183160_1183374	TTLL10	3464	distal
chr1_1185020_1185724	TTLL10	5324	distal
chr1_1201185_1201843	TNFRSF18	3837	distal
chr1_1205963_1206805	TNFRSF18	0	promoter
chr1_1207948_1209369	TNFRSF18	-1357	distal
chr1_1212866_1213077	TNFRSF4	1076	distal
chr1_1213783_1213802	TNFRSF4	351	distal
chr1_1217661_1218334	SDF4;TNFRSF4	0;-3509	distal;distal
chr1_1231161_1233106	SDF4;B3GALT6	0;0	promoter;promoter
chr1_1238421_1238424	B3GALT6	6185	distal
chr1_1273091_1275308	UBE2J2;LINC01786	0;0	promoter;promoter
chr1_1281573_1281969	SCNN1D	-140	promoter
chr1_1290153_1294821	ACAP3;SCNN1D	0;8045	distal;distal
chr1_1296249_1296984	ACAP3	6276	distal
chr1_1297777_1310555	ACAP3;PUSL1	0;0	promoter;promoter
chr1_1311072_1312148	INTS11;PUSL1	0;2476	distal;distal
chr1_1313428_1313609	INTS11;PUSL1	0;4832	distal;distal
chr1_1315641_1315875	INTS11;AL139287.1	0;2814	distal;distal
chr1_1318334_1318601	INTS11;AL139287.1	0;88	distal;promoter
chr1_1324163_1325817	INTS11;CPTP	0;0	promoter;promoter
chr1_1332218_1333932	TAS1R3	939	distal
chr1_1336279_1336474	DVL1;TAS1R3	0;5000	distal;distal
chr1_1345917_1350157	DVL1	0	promoter
chr1_1351528_1352385	DVL1	-2111	distal
chr1_1353394_1355921	MXRA8	2614	distal
chr1_1356881_1357074	MXRA8	1461	distal
chr1_1357850_1359040	MXRA8	0	promoter
chr1_1360164_1360781	MXRA8	996	distal
chr1_1371527_1372487	AURKAIP1	2670	distal
chr1_1374498_1376389	AURKAIP1	0	promoter
chr1_1398740_1400334	CCNL2;MRPL20-AS1	0;0	promoter;promoter
chr1_1406476_1408071	MRPL20	0	promoter
chr1_1418976_1422303	AL391244.1;ANKRD65	0;0	promoter;promoter
chr1_1422880_1423357	ANKRD65	-1112	distal
chr1_1424855_1428715	TMEM88B	0	promoter
chr1_1429689_1437257	VWA1;LINC01770	0;0	promoter;promoter
chr1_1440645_1442430	VWA1	4956	distal
chr1_1462342_1462588	ATAD3B;ATAD3C	-9177;0	distal;distal
chr1_1470925_1472173	ATAD3B	0	promoter
chr1_1504688_1505922	ATAD3A	-6240	distal
chr1_1511313_1512566	ATAD3A	0	promoter
chr1_1536202_1536970	TMEM240	3380	distal
chr1_1539164_1541728	SSU72;TMEM240	0;0	distal;promoter
chr1_1550312_1551591	SSU72;TMEM240	0;-9689	distal;distal
chr1_1554746_1555258	SSU72;TMEM240	0;-14123	distal;distal
chr1_1567746_1568151	SSU72;AL645728.1	0;-5951	distal;distal
chr1_1573897_1575594	SSU72;AL645728.1	0;0	promoter;promoter
chr1_1599246_1600922	FNDC10;AL691432.4	0;0	promoter;promoter
chr1_1614177_1616823	MIB2;AL691432.2	0;0	promoter;promoter
chr1_1628906_1629026	MMP23B;MIB2	-3147;0	distal;distal
chr1_1629685_1631851	MMP23B;MIB2	-322;0	promoter;distal
chr1_1658690_1659524	CDK11B;FO704657.1	0;0	promoter;promoter
chr1_1678680_1678953	SLC35E2B	13771	distal
chr1_1692307_1693593	SLC35E2B	0	promoter
chr1_1723987_1724846	CDK11A;SLC35E2A	0;0	promoter;distal
chr1_1745641_1746854	SLC35E2A	0	promoter
chr1_1753304_1753427	NADK;SLC35E2A	0;-7306	distal;distal
chr1_1758665_1759226	NADK;SLC35E2A	0;-12667	distal;distal
chr1_1763982_1764633	NADK	13837	distal
chr1_1777709_1780771	NADK	0	promoter
chr1_1781570_1783369	NADK	-1502	distal
chr1_1787934_1788642	NADK;GNB1	-7866;0	distal;distal
chr1_1806859_1807718	NADK;GNB1	-26791;0	distal;distal
chr1_1827312_1827471	NADK;GNB1	-47244;0	distal;distal
chr1_1833554_1834422	NADK;GNB1	-53486;0	distal;distal
chr1_1840229_1842149	GNB1	48938	distal
chr1_1846915_1847548	GNB1	43539	distal
chr1_1853838_1854254	GNB1	36833	distal
chr1_1857344_1859104	GNB1	31983	distal
chr1_1861046_1861358	GNB1	29729	distal
chr1_1873251_1873550	GNB1	17537	distal
chr1_1889758_1892818	GNB1;AL109917.1	0;0	promoter;promoter
chr1_1894636_1895154	AL109917.1	3166	distal
chr1_1905984_1911170	CALML6	-3938	distal
chr1_1918419_1920300	TMEM52	0	promoter
chr1_1943901_1944399	CFAP74;TMEM52	0;-24623	distal;distal
chr1_1946453_1946935	CFAP74;TMEM52	0;-27175	distal;distal
chr1_1959697_1960976	CFAP74;TMEM52	0;-40419	distal;distal
chr1_1969183_1969853	CFAP74	33984	distal
chr1_1982865_1983644	CFAP74	20193	distal
chr1_1989010_1989549	CFAP74	14288	distal
chr1_1990271_1990640	CFAP74	13197	distal
chr1_2003495_2004279	CFAP74	0	promoter
chr1_2015004_2015073	AL391845.2	457	distal
chr1_2016083_2016351	AL391845.2	-445	promoter
chr1_2019068_2020107	GABRD	0	promoter
chr1_2021492_2022043	GABRD	2089	distal
chr1_2025575_2026126	GABRD	6172	distal
chr1_2031799_2033175	GABRD	12396	distal
chr1_2042933_2045509	AL391845.1	4561	distal
chr1_2046420_2046839	AL391845.1	3231	distal
chr1_2050107_2050526	AL391845.1	-38	promoter
chr1_2059936_2060756	AL391845.1	-9867	distal
chr1_2072980_2076421	PRKCZ	0	promoter
chr1_2084540_2085420	PRKCZ	11079	distal
chr1_2086362_2090616	PRKCZ	12901	distal
chr1_2091402_2092554	PRKCZ	17941	distal
chr1_2095094_2095681	PRKCZ	21633	distal
chr1_2096266_2096482	PRKCZ	22805	distal
chr1_2098241_2100595	PRKCZ	24780	distal
chr1_2104515_2104891	PRKCZ	31054	distal
chr1_2107132_2107375	PRKCZ	33671	distal
chr1_2108404_2109041	PRKCZ	34943	distal
chr1_2115667_2116393	PRKCZ;AL590822.2	0;28886	distal;distal
chr1_2124596_2128965	PRKCZ;AL590822.2	0;16314	distal;distal
chr1_2130848_2131044	PRKCZ;AL590822.2	0;14235	distal;distal
chr1_2132150_2138764	PRKCZ;AL590822.2	0;6515	distal;distal
chr1_2139528_2140383	PRKCZ;AL590822.2	0;4896	distal;distal
chr1_2152933_2153439	PRKCZ;AL590822.2	0;-7655	distal;distal
chr1_2157910_2158782	PRKCZ;AL590822.2	0;-12632	distal;distal
chr1_2160305_2161344	PRKCZ;AL590822.2	0;-15027	distal;distal
chr1_2174174_2175042	PRKCZ;PRKCZ-AS1	0;8833	distal;distal
chr1_2176339_2176886	PRKCZ;PRKCZ-AS1	0;6989	distal;distal
chr1_2179337_2180692	PRKCZ;PRKCZ-AS1	0;3183	distal;distal
chr1_2182747_2183045	PRKCZ;PRKCZ-AS1	0;830	distal;distal
chr1_2188254_2188459	FAAP20;PRKCZ-AS1	0;-3866	distal;distal
chr1_2188995_2196106	FAAP20	0	promoter
chr1_2198498_2199834	FAAP20	-3724	distal
chr1_2203310_2206269	AL590822.1	-6254	distal
chr1_2207088_2209118	AL590822.1	-3405	distal
chr1_2212101_2215522	AL590822.1	0	promoter
chr1_2220715_2220778	SKI;AL590822.1	-7541;0	distal;distal
chr1_2226408_2233334	SKI	0	promoter
chr1_2234040_2234956	SKI	5722	distal
chr1_2236885_2240898	SKI	8567	distal
chr1_2243091_2243793	SKI	14773	distal
chr1_2246559_2246958	SKI	18241	distal
chr1_2247678_2249789	SKI	19360	distal
chr1_2255750_2257807	SKI	27432	distal
chr1_2259507_2260415	SKI	31189	distal
chr1_2266818_2268706	SKI	38500	distal
chr1_2270222_2271731	SKI	41904	distal
chr1_2273362_2273653	SKI;AL590822.3	0;-41387	distal;distal
chr1_2275939_2276186	SKI;AL590822.3	0;-38854	distal;distal
chr1_2278992_2279790	SKI;AL590822.3	0;-35250	distal;distal
chr1_2290128_2293377	SKI;AL590822.3	0;-21663	distal;distal
chr1_2294257_2294600	SKI;AL590822.3	0;-20440	distal;distal
chr1_2299041_2301572	SKI;AL590822.3	0;-13468	distal;distal
chr1_2302623_2303489	SKI;AL590822.3	0;-11551	distal;distal
chr1_2304610_2305843	SKI;AL590822.3	0;-9197	distal;distal
chr1_2306620_2307493	SKI;AL590822.3	0;-7547	distal;distal
chr1_2310259_2316912	AL590822.3	0	promoter
chr1_2318345_2319488	AL590822.3	3306	distal
chr1_2320691_2323551	MORN1;AL589739.1;AL590822.3	0;3142;0	distal;distal;distal
chr1_2343611_2343665	MORN1;AL589739.1	0;-16919	distal;distal
chr1_2381344_2382989	MORN1	8565	distal
chr1_2384391_2385631	MORN1	5923	distal
chr1_2390804_2392524	MORN1;RER1	0;0	promoter;promoter
chr1_2411702_2415015	PEX10	0	promoter
chr1_2418100_2418435	PEX10	-5530	distal
chr1_2425713_2427108	PEX10	-13143	distal
chr1_2427918_2428319	PEX10	-15348	distal
chr1_2431426_2433153	PEX10	-18856	distal
chr1_2437772_2438539	PEX10	-25202	distal
chr1_2439452_2439751	PEX10	-26882	distal
chr1_2441347_2448821	PLCH2	-18638	distal
chr1_2449460_2453932	PLCH2	-13527	distal
chr1_2455572_2456582	PLCH2	-10877	distal
chr1_2457210_2457461	PLCH2	-9998	distal
chr1_2458063_2459084	PLCH2	-8375	distal
chr1_2459618_2461629	PLCH2	-5830	distal
chr1_2466967_2472512	PLCH2	0	promoter
chr1_2474782_2475533	PLCH2	-756	promoter
chr1_2480461_2481397	PLCH2	4147	distal
chr1_2482067_2482421	PLCH2	5753	distal
chr1_2489562_2490062	PLCH2;AL139246.1	0;3196	distal;distal
chr1_2493048_2494304	PLCH2;AL139246.1;AL139246.4	0;0;0	distal;promoter;distal
chr1_2495342_2495376	PLCH2;AL139246.4	0;-864	distal;promoter
chr1_2503844_2503879	PLCH2;AL139246.4	0;-9366	distal;distal
chr1_2504583_2507497	PLCH2;AL139246.4	0;-10105	distal;distal
chr1_2508121_2508311	AL139246.4	-13643	distal
chr1_2525680_2533415	PANK4;HES5;AL139246.5	0;0;0	promoter;promoter;promoter
chr1_2540469_2541332	HES5;AL139246.5	-10207;0	distal;distal
chr1_2542769_2549451	TNFRSF14-AS1;AL139246.5	2655;0	distal;distal
chr1_2554897_2557532	TNFRSF14;TNFRSF14-AS1	0;0	promoter;promoter
chr1_2559970_2559971	TNFRSF14;TNFRSF14-AS1	0;-2940	distal;distal
chr1_2578230_2578643	AL139246.3	-2917	distal
chr1_2584900_2588014	PRXL2B	0	promoter
chr1_2610600_2611358	MMEL1	18136	distal
chr1_2641582_2643896	MMEL1;TTC34	-8567;0	distal;distal
chr1_2653951_2654012	MMEL1;TTC34	-20936;0	distal;distal
chr1_2778137_2778413	TTC34;AC242022.1;AC242022.2	0;4535;0	distal;distal;distal
chr1_2786627_2786973	TTC34	2692	distal
chr1_2788954_2790005	TTC34	0	promoter
chr1_2801710_2801960	TTC34	0	promoter
chr1_2821785_2822533	AL592464.1	-6788	distal
chr1_2874650_2875135	AL592464.1	-59653	distal
chr1_2875713_2876383	AL592464.1	-60716	distal
chr1_2906003_2906555	AL589702.1	56860	distal
chr1_2913272_2913573	AL589702.1	49842	distal
chr1_2914533_2915309	AL589702.1	48106	distal
chr1_2922087_2922376	AL589702.1	41039	distal
chr1_2926583_2927074	AL589702.1	36341	distal
chr1_2948621_2950478	AL589702.1	12937	distal
chr1_2966495_2970619	AL589702.1	-3081	distal
chr1_2973638_2974158	AL589702.1	-10224	distal
chr1_2980223_2980240	AL589702.1	-16809	distal
chr1_2981952_2985753	AL589702.1	-18538	distal
chr1_2987479_2988739	AL589702.1	-24065	distal
chr1_3001280_3001899	ACTRT2	-19568	distal
chr1_3003435_3004285	ACTRT2	-17182	distal
chr1_3011505_3013411	ACTRT2	-8056	distal
chr1_3030606_3032417	ACTRT2	9140	distal
chr1_3062055_3063282	PRDM16-DT	0	promoter
chr1_3063960_3064308	PRDM16-DT	-1566	distal
chr1_3066106_3075207	PRDM16	0	promoter
chr1_3076105_3081020	PRDM16	6895	distal
chr1_3082930_3083655	PRDM16	13720	distal
chr1_3084220_3084274	PRDM16	15010	distal
chr1_3086283_3086834	PRDM16	17073	distal
chr1_3089523_3089658	PRDM16	20313	distal
chr1_3094074_3095540	PRDM16	24864	distal
chr1_3100771_3102099	PRDM16	31561	distal
chr1_3104031_3106507	PRDM16;AL008733.1	0;27202	distal;distal
chr1_3109505_3109563	PRDM16;AL008733.1	0;24146	distal;distal
chr1_3112392_3114220	PRDM16;AL008733.1	0;19489	distal;distal
chr1_3114881_3117862	PRDM16;AL008733.1	0;15847	distal;distal
chr1_3119135_3120498	PRDM16;AL008733.1	0;13211	distal;distal
chr1_3121532_3122305	PRDM16;AL008733.1	0;11404	distal;distal
chr1_3124670_3128999	PRDM16;AL008733.1	0;4710	distal;distal
chr1_3130146_3130153	PRDM16;AL008733.1	0;3556	distal;distal
chr1_3130885_3131093	PRDM16;AL008733.1	0;2616	distal;distal
chr1_3132496_3132526	PRDM16;AL008733.1	0;1183	distal;distal
chr1_3134060_3135812	PRDM16;AL008733.1	0;-352	distal;promoter
chr1_3137004_3137158	PRDM16;AL008733.1	0;-3296	distal;distal
chr1_3138844_3140624	PRDM16;AL008733.1	0;-5136	distal;distal
chr1_3146040_3146103	PRDM16;AL008733.1	0;-12332	distal;distal
chr1_3151475_3151853	PRDM16;AL008733.1	0;-17767	distal;distal
chr1_3152918_3155725	PRDM16;AL008733.1	0;-19210	distal;distal
chr1_3156626_3157659	PRDM16;AL008733.1	0;-22918	distal;distal
chr1_3160815_3162539	PRDM16;AL008733.1	0;-27107	distal;distal
chr1_3167034_3167276	PRDM16;AL008733.1	0;-33326	distal;distal
chr1_3168737_3168981	PRDM16;AL008733.1	0;-35029	distal;distal
chr1_3169631_3171892	PRDM16;AL008733.1	0;-35923	distal;distal
chr1_3172958_3175376	PRDM16;AL008733.1	0;-39250	distal;distal
chr1_3184192_3184619	PRDM16;AL008733.1	0;-50484	distal;distal
chr1_3185287_3185697	PRDM16;AL008733.1	0;-51579	distal;distal
chr1_3189814_3190000	PRDM16;AL008733.1	0;-56106	distal;distal
